"","which..Intercept.","which.DECISION_DATE","which.ADMINTrump","which.PW_LEVEL_9089Level.I","which.PW_LEVEL_9089Level.II","which.PW_LEVEL_9089Level.III","which.PW_LEVEL_9089Level.IV","which.PW_AMOUNT_9089","which.JOB_INFO_EDUCATIONOther","which.JOB_INFO_EDUCATIONHigh.School","which.JOB_INFO_EDUCATIONAssociate.s","which.JOB_INFO_EDUCATIONBachelor.s","which.JOB_INFO_EDUCATIONMaster.s","which.JOB_INFO_EDUCATIONDoctorate","which.JOB_INFO_EXPERIENCEN","which.RECR_INFO_PROFESSIONAL_OCCN","which.RECR_INFO_COLL_UNIV_TEACHERN","which.FOREIGN_WORKER_INFO_STATEMidAtlantic","which.FOREIGN_WORKER_INFO_STATESouth","which.FOREIGN_WORKER_INFO_STATEMidwest","which.FOREIGN_WORKER_INFO_STATESouthwest","which.FOREIGN_WORKER_INFO_STATEWest","which.FOREIGN_WORKER_INFO_STATENA","which.REGIONASIA","which.REGIONAFRICA","which.REGIONLATIN.AMERICA","which.REGIONOCEANIA","which.REGIONEUROPE","which.REGIONMIDDLE.EAST","which.CLASS_OF_ADMISSIONB.1","which.CLASS_OF_ADMISSIONB.2","which.CLASS_OF_ADMISSIONE.1","which.CLASS_OF_ADMISSIONE.2","which.CLASS_OF_ADMISSIONE.3","which.CLASS_OF_ADMISSIONEWI","which.CLASS_OF_ADMISSIONF.1","which.CLASS_OF_ADMISSIONF.2","which.CLASS_OF_ADMISSIONG.4","which.CLASS_OF_ADMISSIONG.5","which.CLASS_OF_ADMISSIONH.1B","which.CLASS_OF_ADMISSIONH.1B1","which.CLASS_OF_ADMISSIONH.2A","which.CLASS_OF_ADMISSIONH.2B","which.CLASS_OF_ADMISSIONH.3","which.CLASS_OF_ADMISSIONH.4","which.CLASS_OF_ADMISSIONJ.1","which.CLASS_OF_ADMISSIONJ.2","which.CLASS_OF_ADMISSIONL.1","which.CLASS_OF_ADMISSIONNot.in.USA","which.CLASS_OF_ADMISSIONO.1","which.CLASS_OF_ADMISSIONO.2","which.CLASS_OF_ADMISSIONO.3","which.CLASS_OF_ADMISSIONP.1","which.CLASS_OF_ADMISSIONP.3","which.CLASS_OF_ADMISSIONParolee","which.CLASS_OF_ADMISSIONTN","which.CLASS_OF_ADMISSIONTPS","which.CLASS_OF_ADMISSIONVWT","which.FOREIGN_WORKER_INFO_EDUCATIONOther","which.FOREIGN_WORKER_INFO_EDUCATIONHigh.School","which.FOREIGN_WORKER_INFO_EDUCATIONAssociate.s","which.FOREIGN_WORKER_INFO_EDUCATIONBachelor.s","which.FOREIGN_WORKER_INFO_EDUCATIONMaster.s","which.FOREIGN_WORKER_INFO_EDUCATIONDoctorate","rsq","rss","adjr2","cp","bic","outmat.DECISION_DATE","outmat.ADMINTrump","outmat.PW_LEVEL_9089Level.I","outmat.PW_LEVEL_9089Level.II","outmat.PW_LEVEL_9089Level.III","outmat.PW_LEVEL_9089Level.IV","outmat.PW_AMOUNT_9089","outmat.JOB_INFO_EDUCATIONOther","outmat.JOB_INFO_EDUCATIONHigh.School","outmat.JOB_INFO_EDUCATIONAssociate.s","outmat.JOB_INFO_EDUCATIONBachelor.s","outmat.JOB_INFO_EDUCATIONMaster.s","outmat.JOB_INFO_EDUCATIONDoctorate","outmat.JOB_INFO_EXPERIENCEN","outmat.RECR_INFO_PROFESSIONAL_OCCN","outmat.RECR_INFO_COLL_UNIV_TEACHERN","outmat.FOREIGN_WORKER_INFO_STATEMidAtlantic","outmat.FOREIGN_WORKER_INFO_STATESouth","outmat.FOREIGN_WORKER_INFO_STATEMidwest","outmat.FOREIGN_WORKER_INFO_STATESouthwest","outmat.FOREIGN_WORKER_INFO_STATEWest","outmat.FOREIGN_WORKER_INFO_STATENA","outmat.REGIONASIA","outmat.REGIONAFRICA","outmat.REGIONLATIN.AMERICA","outmat.REGIONOCEANIA","outmat.REGIONEUROPE","outmat.REGIONMIDDLE.EAST","outmat.CLASS_OF_ADMISSIONB.1","outmat.CLASS_OF_ADMISSIONB.2","outmat.CLASS_OF_ADMISSIONE.1","outmat.CLASS_OF_ADMISSIONE.2","outmat.CLASS_OF_ADMISSIONE.3","outmat.CLASS_OF_ADMISSIONEWI","outmat.CLASS_OF_ADMISSIONF.1","outmat.CLASS_OF_ADMISSIONF.2","outmat.CLASS_OF_ADMISSIONG.4","outmat.CLASS_OF_ADMISSIONG.5","outmat.CLASS_OF_ADMISSIONH.1B","outmat.CLASS_OF_ADMISSIONH.1B1","outmat.CLASS_OF_ADMISSIONH.2A","outmat.CLASS_OF_ADMISSIONH.2B","outmat.CLASS_OF_ADMISSIONH.3","outmat.CLASS_OF_ADMISSIONH.4","outmat.CLASS_OF_ADMISSIONJ.1","outmat.CLASS_OF_ADMISSIONJ.2","outmat.CLASS_OF_ADMISSIONL.1","outmat.CLASS_OF_ADMISSIONNot.in.USA","outmat.CLASS_OF_ADMISSIONO.1","outmat.CLASS_OF_ADMISSIONO.2","outmat.CLASS_OF_ADMISSIONO.3","outmat.CLASS_OF_ADMISSIONP.1","outmat.CLASS_OF_ADMISSIONP.3","outmat.CLASS_OF_ADMISSIONParolee","outmat.CLASS_OF_ADMISSIONTN","outmat.CLASS_OF_ADMISSIONTPS","outmat.CLASS_OF_ADMISSIONVWT","outmat.FOREIGN_WORKER_INFO_EDUCATIONOther","outmat.FOREIGN_WORKER_INFO_EDUCATIONHigh.School","outmat.FOREIGN_WORKER_INFO_EDUCATIONAssociate.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONBachelor.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONMaster.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONDoctorate"
"X6.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.07344817247016,196.11966887168,0.0706304781137591,75.3630101186225,-97.9089207612286," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "
"X7",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0786289777014414,195.023067714294,0.0753583909082924,65.9487493643569,-101.420286714695," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X7.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0781947505413858,195.114978910532,0.0749226223739363,66.905431156124,-100.487364773381," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X7.2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0781714415148145,195.119912642718,0.0748992306074127,66.9567852015546,-100.437298569978," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X7.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.078089436231493,195.137270386271,0.0748169342302863,67.1374578277723,-100.261166861188," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "
"X8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0828593823090966,194.127634208908,0.0791368430186211,58.6283948765506,-102.941387677209," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X8.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0825356886201433,194.196149209588,0.0788118355044461,59.3415512306858,-102.242693914184," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X8.2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0825163209987391,194.200248679671,0.0787923892727066,59.3842216402124,-102.200896663708," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X8.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0823093432946589,194.244058855833,0.0785845714764739,59.8402313489785,-101.754273312626," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "
"X9",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0866892914037199,193.316972051511,0.0825168059329756,52.1904051974152,-103.636176329146," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X9.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0864091048455859,193.376278064807,0.0822353393347282,52.8077073911113,-103.028842701198," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*"," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X9.2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0863583716095679,193.387016574141,0.082184374322505,52.9194819819259,-102.918893030264," "," "," "," "," ","*"," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "
"X9.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0862728347986237,193.405121822591,0.0820984467342518,53.1079352089091,-102.733530462635," "," "," "," "," "," ","*"," "," "," "," "," "," ","*","*","*"," "," "," "," "," "," ","*"," ","*"," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "
