"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0642728215728866,0.0865266565968998,-0.74280948901462,0.457597029715064
"PW_AMOUNT_9089:REGIONCANADA",-1.75922271793515e-05,2.88424399806766e-06,-6.09942404010815,1.06451331065827e-09
"PW_AMOUNT_9089:REGIONASIA",-2.36263264705374e-05,1.29662321554458e-06,-18.2214279270129,3.48929567901177e-74
"PW_AMOUNT_9089:REGIONAFRICA",-4.74861897569405e-06,3.46912922247251e-06,-1.3688215892718,0.171055050628247
"PW_AMOUNT_9089:REGIONLATIN AMERICA",-1.07336324815478e-05,2.15968507291647e-06,-4.96999892074678,6.69532743314714e-07
"PW_AMOUNT_9089:REGIONOCEANIA",-2.49219316506179e-05,1.01900129053953e-05,-2.44572130398602,0.014456269843685
"PW_AMOUNT_9089:REGIONEUROPE",-1.49694620637132e-05,1.93216948009013e-06,-7.74748914003907,9.37273468529335e-15
"PW_AMOUNT_9089:REGIONMIDDLE EAST",-1.48473321317066e-05,3.65320128722058e-06,-4.06419766237483,4.81979687406867e-05
