"","Estimate","Std. Error","z value","Pr(>|z|)"
"FOREIGN_WORKER_INFO_STATEMN:REGIONASIA",-6414050845016.23,1919272610606.6,-3.34191756271092,0.000832017673717125
"FOREIGN_WORKER_INFO_STATEMO:REGIONASIA",-6414050845014.54,1919272610606.54,-3.34191756271015,0.000832017673719448
"FOREIGN_WORKER_INFO_STATEMP:REGIONASIA",4497185556436992,1919271676084.21,2343.17299237822,0
"FOREIGN_WORKER_INFO_STATEMT:REGIONASIA",4497185576929966,1919272655926.79,2343.17180680008,0
"FOREIGN_WORKER_INFO_STATENC:REGIONASIA",-6414050845014.99,1919272610606.57,-3.34191756271033,0.000832017673718914
"FOREIGN_WORKER_INFO_STATEND:REGIONASIA",-6414149551099.8,1919272889218.81,-3.34196850647462,0.000831864986017584
"FOREIGN_WORKER_INFO_STATENE:REGIONASIA",-6414050845015.99,1919272610606.63,-3.34191756271074,0.000832017673717684
"FOREIGN_WORKER_INFO_STATENH:REGIONASIA",-4510013677702487,1919272487628.4,-2349.85584734526,0
"FOREIGN_WORKER_INFO_STATENJ:REGIONASIA",-6414050845015.29,1919272610606.57,-3.34191756271047,0.000832017673718476
"FOREIGN_WORKER_INFO_STATENM:REGIONASIA",-6414050845012.6,1919272610606.61,-3.34191756270901,0.000832017673722875
"FOREIGN_WORKER_INFO_STATENV:REGIONASIA",-4510013681647744,1919272772611.02,-2349.85550048325,0
"FOREIGN_WORKER_INFO_STATENY:REGIONASIA",-6414050845014.77,1919272610606.58,-3.3419175627102,0.00083201767371929
"FOREIGN_WORKER_INFO_STATEOH:REGIONASIA",-6414050845016.05,1919272610606.56,-3.34191756271089,0.000832017673717228
"FOREIGN_WORKER_INFO_STATEOK:REGIONASIA",-6414050845014.37,1919272610606.52,-3.34191756271009,0.000832017673719634
"FOREIGN_WORKER_INFO_STATEOR:REGIONASIA",-6414050845013.84,1919272610606.57,-3.34191756270973,0.000832017673720712
"FOREIGN_WORKER_INFO_STATEPA:REGIONASIA",-6414050845015.06,1919272610606.62,-3.34191756271027,0.00083201767371909
"FOREIGN_WORKER_INFO_STATERI:REGIONASIA",-6414050845013.93,1919272610606.6,-3.34191756270973,0.000832017673720714
"FOREIGN_WORKER_INFO_STATESC:REGIONASIA",-6414050845014.27,1919272610606.55,-3.34191756270999,0.000832017673719924
"FOREIGN_WORKER_INFO_STATESD:REGIONASIA",-4510013690427931,1919272741675.59,-2349.8555429337,0
"FOREIGN_WORKER_INFO_STATETN:REGIONASIA",-6414050845015.89,1919272610606.62,-3.3419175627107,0.000832017673717793
"FOREIGN_WORKER_INFO_STATETX:REGIONASIA",-6414050845015.29,1919272610606.55,-3.34191756271052,0.00083201767371832
"FOREIGN_WORKER_INFO_STATEUT:REGIONASIA",-6414050845014.66,1919272610606.57,-3.34191756271015,0.000832017673719451
