"","Estimate","Std. Error","z value","Pr(>|z|)"
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEMN",-5371694615114.96,2022243924819.07,-2.65630399438365,0.00790023617883119
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEMN",-5371692398799.46,2022244409788.44,-2.6563022613876,0.00790027678185348
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEMO",-5371692399299.38,2022244409788.46,-2.65630226163478,0.00790027677606226
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEMO",-5371692398798.34,2022244409788.48,-2.65630226138699,0.0079002767818678
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEMP",4498227934978104,2022244406073.66,2224.37402792067,0
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEMS",-4508971333243264,2022247800578.06,-2229.68289640586,0
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEMS",-5371692398795.78,2022244409788.32,-2.65630226138594,0.00790027678189235
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEMT",-5371690145320.89,2022245863309.67,-2.65629923778379,0.00790034762346241
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATENC",-5371692398807.14,2022244409787.81,-2.65630226139222,0.00790027678174515
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENC",-5371692398798.68,2022244409788.48,-2.65630226138716,0.00790027678186376
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEND",-4508971320623895,2022244740076.34,-2229.68626460795,0
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEND",-4436099680657.76,2022244806097.08,-2.19365116789169,0.0282604969106141
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENE",-5371692398798.51,2022244409788.48,-2.65630226138708,0.00790027678186569
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATENH",-5371692398813.09,2022244409788.18,-2.65630226139468,0.00790027678168767
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENH",-5371692402032.65,2022244410220.93,-2.65630226241832,0.00790027675770441
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENJ",-5371692398798.73,2022244409788.48,-2.65630226138718,0.00790027678186327
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENM",-5371692398797.29,2022244409788.62,-2.65630226138628,0.00790027678188434
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENV",-5371692398798.37,2022244409788.51,-2.65630226138697,0.00790027678186829
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATENY",-5371692398804.16,2022244409788.36,-2.65630226139003,0.00790027678179658
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATENY",-5371692398798.17,2022244409788.44,-2.65630226138695,0.0079002767818686
