"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.03688192672368,0.613840993237045,-3.3182565992902,0.000905812295720548
"ADMINObama:JOB_INFO_EDUCATIONNone",1.58262665444605,0.624840062147833,2.53285080506188,0.0113139096658596
"ADMINTrump:JOB_INFO_EDUCATIONNone",2.08850629212907,0.624269645033808,3.34551953429671,0.00082128573821952
"ADMINObama:JOB_INFO_EDUCATIONOther",-0.0245411084724264,0.733371290058982,-0.033463415878269,0.973305039382343
"ADMINTrump:JOB_INFO_EDUCATIONOther",0.119959314557024,0.778595805129293,0.154071359962059,0.877553470054148
"ADMINObama:JOB_INFO_EDUCATIONHigh School",1.48481334442361,0.678037879868935,2.18986783557081,0.0285338232670041
"ADMINTrump:JOB_INFO_EDUCATIONHigh School",1.9117187837697,0.662982551065553,2.88351296832348,0.00393266453929326
"ADMINObama:JOB_INFO_EDUCATIONAssociate's",0.737598942594227,0.767412384494039,0.961150689639354,0.33647640574237
"ADMINTrump:JOB_INFO_EDUCATIONAssociate's",3.13549421538863,0.75317768642524,4.16302058850207,3.14065036725087e-05
"ADMINObama:JOB_INFO_EDUCATIONBachelor's",0.0348823112317362,0.622667369951157,0.0560207791753604,0.95532525376533
"ADMINTrump:JOB_INFO_EDUCATIONBachelor's",0.270811943610943,0.624122635998233,0.433908222504704,0.664355088562198
"ADMINObama:JOB_INFO_EDUCATIONMaster's",-0.153446056622182,0.623106472143495,-0.2462597701711,0.805481149861741
"ADMINTrump:JOB_INFO_EDUCATIONMaster's",-0.0826917127432003,0.629373559508646,-0.131387331885626,0.895468909480639
"ADMINObama:JOB_INFO_EDUCATIONDoctorate",-0.38665518501425,0.729493935015382,-0.530032076286004,0.596089691352841
